# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 94.3974815; 451.2351735; -3.0971014; 0.0005239; 20.0000000; 0.0000000
1.9905853; 94.4865215; 449.2465506; -3.0968622; -0.0002837; 20.0000000; 0.0000000
3.9811706; 94.5744370; 447.2579206; -3.0982296; -0.0010890; 20.0000000; 0.0000000
5.9717559; 94.6580419; 445.2691096; -3.1011964; -0.0018919; 20.0000000; 0.0000000
7.9623412; 94.7341597; 443.2799671; -3.1057582; -0.0026914; 20.0000000; 0.0000000
9.9529265; 94.7996193; 441.2904676; -3.1119103; -0.0034887; 20.0000000; 0.0000000
11.9435118; 94.8512613; 439.3005659; -3.1196463; -0.0042839; 20.0000000; 0.0000000
13.9340971; 94.8860014; 437.3102903; -3.1288617; -0.0049746; 20.0000000; 0.0000000
15.9246824; 94.9010499; 435.3197707; -3.1393951; -0.0055507; 20.0000000; 0.0000000
17.9152676; 94.8941241; 433.3292091; 3.1322839; -0.0060102; 20.0000000; 0.0000000
19.9058529; 94.8629023; 431.3388540; 3.1191302; -0.0072120; 20.0000000; 0.0000000
21.8964382; 94.8030429; 429.3491567; 3.1033641; -0.0088432; 20.0000000; 0.0000000
23.8870235; 94.7080983; 427.3609284; 3.0836992; -0.0109160; 20.0000000; 0.0000000
25.8776088; 94.5699154; 425.3750773; 3.0598273; -0.0130711; 20.0000000; 0.0000000
27.8681941; 94.3801339; 423.3935269; 3.0317185; -0.0151001; 20.0000000; 0.0000000
29.8587794; 94.1309416; 421.4188924; 2.9997665; -0.0170113; 20.0000000; -3.1510302
31.8493647; 93.8152902; 419.4531856; 2.9645218; -0.0183954; 19.6838820; -4.9206221
33.8399500; 93.4279129; 417.5006505; 2.9264670; -0.0198695; 19.1798169; -4.7333233
35.8305353; 92.9637714; 415.5656189; 2.8853656; -0.0214452; 18.6821093; -4.5412419
37.8211206; 92.4171046; 413.6511419; 2.8409655; -0.0231630; 18.1918044; -4.3704613
39.8117059; 91.7829683; 411.7645594; 2.7930941; -0.0249584; 17.7071228; -4.2231932
41.8022912; 91.0560716; 409.9121960; 2.7415673; -0.0268335; 17.2258220; -4.0184793
43.7928765; 90.2308804; 408.1008181; 2.6859442; -0.0290562; 16.7550199; -3.7515258
45.7834618; 89.3025534; 406.3406695; 2.6257020; -0.0316582; 16.3032275; -3.4210315
47.7740471; 88.2649477; 404.6421645; 2.5597098; -0.0346448; 15.8800352; -3.0961649
49.7646323; 87.1131089; 403.0197383; 2.4877024; -0.0377476; 15.4870642; -2.7363891
51.7552176; 85.8425712; 401.4882194; 2.4093235; -0.0410854; 15.1312632; -2.3028587
53.7458029; 84.4506629; 400.0652685; 2.3239071; -0.0447456; 14.8252168; -1.7203605
55.7363882; 82.9385032; 398.7727447; 2.2308001; -0.0489003; 14.5923954; -1.0418034
57.7269735; 81.3072168; 397.6328558; 2.1292055; -0.0531092; 14.4495815; -0.1301701
59.7175588; 79.5647530; 396.6718167; 2.0188656; -0.0576169; 14.4316381; -0.1301701
61.7081441; 77.7252091; 395.9138601; 1.9044471; -0.0574853; 14.4136723; -0.0726390
63.6987294; 75.8111264; 395.3709199; 1.7901751; -0.0568134; 14.4036370; 0.0835571
65.6893147; 73.8481487; 395.0475510; 1.6783234; -0.0556527; 14.4151800; 0.3056430
67.6799000; 71.8611852; 394.9426860; 1.5692708; -0.0540092; 14.4573245; -0.2114886
69.6704853; 69.8745633; 395.0518286; 1.4629314; -0.0528716; 14.4281759; -1.0299096
71.6610706; 67.9104549; 395.3692047; 1.3584917; -0.0521715; 14.2853776; -1.4111861
73.6516559; 65.9899245; 395.8887989; 1.2546239; -0.0522721; 14.0873646; -1.6925666
75.6422412; 64.1339315; 396.6051465; 1.1500563; -0.0529212; 13.8461347; -1.9266854
77.6328265; 62.3631952; 397.5130696; 1.0435598; -0.0541226; 13.5663179; -2.0925803
79.6234118; 60.7012413; 398.6053957; 0.9347034; -0.0553666; 13.2557181; -2.3425389
81.6139970; 59.1693706; 399.8742189; 0.8226445; -0.0576026; 12.8991479; -2.5063292
83.6045823; 57.7918823; 401.3113621; 0.7046535; -0.0609481; 12.5063940; -2.5570016
85.5951676; 56.6001279; 402.9027265; 0.5795853; -0.0649774; 12.0925610; -2.5763110
87.5857529; 55.6232611; 404.6355085; 0.4454697; -0.0699304; 11.6607589; -2.4821414
89.5763382; 54.8964696; 406.4881333; 0.3001789; -0.0761088; 11.2290458; -2.3252989
91.5669235; 54.4582517; 408.4271156; 0.1419232; -0.0834322; 10.8089805; -1.9281106
93.5575088; 54.3472524; 410.4142648; -0.0334167; -0.0928940; 10.4478668; -0.6880378
95.5480941; 54.6048838; 412.3836544; -0.2314201; -0.1069217; 10.3159452; -0.0663466
97.5386794; 55.2691533; 414.2623881; -0.4500855; -0.1130427; 10.3031349; -0.0663466
99.5292647; 56.3324466; 415.9370797; -0.6811963; -0.1111134; 10.2903086; 0.1679667
101.5198500; 57.7339971; 417.3414053; -0.8807131; -0.0903972; 10.3227494; 2.3007495
103.5104353; 59.3654237; 418.4779675; -1.0348164; -0.0634752; 10.7572688; 4.5824020
105.5010206; 61.1250910; 419.3985794; -1.1345116; -0.0386136; 11.5742022; 5.2162737
107.4916059; 62.9576619; 420.1840887; -1.1900639; -0.0172167; 12.4390125; 5.2032944
109.4821912; 64.8110627; 420.9008594; -1.2082002; -0.0012148; 13.2455364; -0.6191215
111.4727765; 66.6709002; 421.6155798; -1.1930493; 0.0185304; 13.1521635; -5.7918581
113.4633618; 68.5022533; 422.3986995; -1.1325571; 0.0420344; 12.2442243; -5.2347802
115.4539470; 70.2668478; 423.3253367; -1.0383086; 0.0530359; 11.3613589; -3.5278096
117.4445323; 71.9224596; 424.4349683; -0.9153323; 0.0742734; 10.7254680; -0.0717188
119.4351176; 73.3864574; 425.7696474; -0.7376951; 0.1045750; 10.7121492; -0.0717188
121.4257029; 74.5729404; 427.3658868; -0.5459844; 0.0887515; 10.6988137; 1.7695582
123.4162882; 75.4581487; 429.1462675; -0.3802683; 0.0780617; 11.0231360; 2.4388104
