# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 18.9522538; -2.5317580; -0.0404135; 0.0070141; 20.0000000; 0.0000000
1.9943087; 19.0196998; -0.5380162; -0.0276173; 0.0058146; 20.0000000; 0.0000000
3.9886174; 19.0640253; 1.4557526; -0.0172783; 0.0044941; 20.0000000; 0.0000000
5.9829260; 19.0904994; 3.4493410; -0.0097613; 0.0030419; 20.0000000; 0.0000000
7.9772347; 19.1050350; 5.4438158; -0.0053754; 0.0013544; 20.0000000; 0.0000000
9.9715434; 19.1139124; 7.4378174; -0.0035775; 0.0011811; 20.0000000; 0.0000000
11.9658521; 19.1178766; 9.4321487; 0.0000136; 0.0024274; 20.0000000; 0.0000000
13.9601608; 19.1119980; 11.4260256; 0.0063967; 0.0039731; 20.0000000; 0.0000000
15.9544695; 19.0903494; 13.4200577; 0.0157818; 0.0053794; 20.0000000; 0.0000000
17.9487781; 19.0473098; 15.4144387; 0.0278017; 0.0066738; 20.0000000; 0.0000000
19.9430868; 18.9777123; 17.4071568; 0.0424781; 0.0080474; 20.0000000; 0.0000000
21.9373955; 18.8761166; 19.3989715; 0.0599122; 0.0094469; 20.0000000; 0.0000000
23.9317042; 18.7369960; 21.3886628; 0.0801759; 0.0108729; 20.0000000; 0.0000000
25.9260129; 18.5547938; 23.3745156; 0.1032898; 0.0123106; 20.0000000; 0.0000000
27.9203216; 18.3238674; 25.3555019; 0.1292872; 0.0137603; 20.0000000; 0.0000000
29.9146302; 18.0386911; 27.3292107; 0.1581898; 0.0152278; 20.0000000; 0.0000000
31.9089389; 17.6936769; 29.2935794; 0.1900264; 0.0167028; 20.0000000; -3.4509690
33.9032476; 17.2834370; 31.2453124; 0.2248091; 0.0181561; 19.6528727; -5.0381151
35.8975563; 16.8029358; 33.1803918; 0.2624503; 0.0196393; 19.1347927; -4.5917482
37.8918650; 16.2463806; 35.0957163; 0.3038943; 0.0219238; 18.6500822; -4.2159944
39.8861736; 15.6067121; 36.9846693; 0.3498714; 0.0241410; 18.1936686; -3.8753772
41.8804823; 14.8771073; 38.8400075; 0.4002119; 0.0263723; 17.7637885; -3.5111504
43.8747910; 14.0503250; 40.6556827; 0.4551891; 0.0287759; 17.3651244; -3.3632711
45.8690997; 13.1212248; 42.4201982; 0.5147219; 0.0305998; 16.9744733; -3.3577994
47.8634084; 12.0869344; 44.1237970; 0.5769804; 0.0319144; 16.5752758; -3.2542883
49.8577171; 10.9448159; 45.7596890; 0.6427090; 0.0340362; 16.1789881; -1.8379137
51.8520257; 9.6936418; 47.3133859; 0.7154828; 0.0405658; 15.9508282; -0.1586226
53.8463344; 8.3227738; 48.7585329; 0.8053940; 0.0472820; 15.9309835; -0.1586226
55.8406431; 6.8254121; 50.0770257; 0.8885908; 0.0362083; 15.9111141; 2.6751411
57.8349518; 5.2334836; 51.2835177; 0.9549935; 0.0325517; 16.2429574; 3.2468652
59.8292605; 3.5721172; 52.3802028; 1.0195255; 0.0316718; 16.6368317; 3.0607700
61.8235692; 1.8433895; 53.3723170; 1.0786784; 0.0275351; 16.9997767; 3.8619491
63.8178778; 0.0627955; 54.2654154; 1.1337823; 0.0288552; 17.4469552; 3.0263362
65.8121865; -1.7669297; 55.0552289; 1.1935308; 0.0310257; 17.7895234; 1.9836055
67.8064952; -3.6444191; 55.7311549; 1.2576862; 0.0333202; 18.0105243; 0.9888914
69.8008039; -5.5614519; 56.2824550; 1.3236901; 0.0328932; 18.1196936; 0.9952014
71.7951126; -7.5120389; 56.7072645; 1.3884350; 0.0311819; 18.2288994; 1.4307855
73.7894212; -9.4812445; 57.0094839; 1.4476326; 0.0283208; 18.3847662; 2.2163138
75.7837299; -11.4668952; 57.2002826; 1.5014598; 0.0255837; 18.6236317; 2.9097728
77.7780386; -13.4575190; 57.2888318; 1.5509946; 0.0246187; 18.9326603; -0.6748953
79.7723473; -15.4493816; 57.2797298; 1.5997940; 0.0250350; 18.8614349; -2.8237798
81.7666560; -17.4417625; 57.1705394; 1.6520385; 0.0272621; 18.5604620; -2.3790376
83.7609647; -19.4216141; 56.9537347; 1.7083871; 0.0293441; 18.3030511; -2.1071728
85.7552733; -21.3886994; 56.6210565; 1.7687932; 0.0309156; 18.0719942; -2.0013259
87.7495820; -23.3320711; 56.1675608; 1.8317199; 0.0320067; 17.8497745; -1.9463327
89.7438907; -25.2410219; 55.5923599; 1.8950530; 0.0315540; 17.6309749; -2.3631522
91.7381994; -27.1094947; 54.8981653; 1.9581669; 0.0319900; 17.3616118; -2.5188761
93.7325081; -28.9298031; 54.0864027; 2.0225546; 0.0324259; 17.0698193; -2.6617362
95.7268168; -30.6948333; 53.1586355; 2.0867435; 0.0318592; 16.7559567; -1.6052503
97.7211254; -32.3953116; 52.1183285; 2.1553984; 0.0385124; 16.5637965; -0.1710482
99.7154341; -34.0126314; 50.9492419; 2.2400242; 0.0438473; 16.5431892; -0.1710482
101.7097428; -35.5216546; 49.6457954; 2.3259213; 0.0423043; 16.5225562; 0.2805192
103.7040515; -36.9158952; 48.2224512; 2.4052057; 0.0368654; 16.5563809; 1.7233768
105.6983602; -38.2026507; 46.6991546; 2.4737881; 0.0329246; 16.7626859; 2.5729690
107.6926688; -39.3869548; 45.0933955; 2.5379286; 0.0313716; 17.0660548; 2.6809702
