# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 208.5522605; -2.5317566; -0.0404125; 0.0070140; 20.0000000; 0.0000000
1.9943096; 208.6197047; -0.5380138; -0.0276164; 0.0058146; 20.0000000; 0.0000000
3.9886191; 208.6640285; 1.4557558; -0.0172775; 0.0044941; 20.0000000; 0.0000000
5.9829287; 208.6905011; 3.4493452; -0.0097606; 0.0030418; 20.0000000; 0.0000000
7.9772382; 208.7050356; 5.4438208; -0.0053749; 0.0013543; 20.0000000; 0.0000000
9.9715478; 208.7139122; 7.4378233; -0.0035773; 0.0011810; 20.0000000; 0.0000000
11.9658573; 208.7178764; 9.4321555; 0.0000136; 0.0024273; 20.0000000; 0.0000000
13.9601669; 208.7119981; 11.4260332; 0.0063965; 0.0039730; 20.0000000; 0.0000000
15.9544764; 208.6903500; 13.4200662; 0.0157815; 0.0053794; 20.0000000; 0.0000000
17.9487860; 208.6473109; 15.4144481; 0.0278014; 0.0066737; 20.0000000; 0.0000000
19.9430955; 208.5777141; 17.4071670; 0.0424778; 0.0080473; 20.0000000; 0.0000000
21.9374051; 208.4761191; 19.3989827; 0.0599118; 0.0094469; 20.0000000; 0.0000000
23.9317146; 208.3369995; 21.3886750; 0.0801754; 0.0108729; 20.0000000; 0.0000000
25.9260242; 208.1547983; 23.3745287; 0.1032893; 0.0123105; 20.0000000; 0.0000000
27.9203338; 207.9238729; 25.3555160; 0.1292866; 0.0137603; 20.0000000; 0.0000000
29.9146433; 207.6386977; 27.3292258; 0.1581891; 0.0152278; 20.0000000; 0.0000000
31.9089529; 207.2936845; 29.2935956; 0.1900258; 0.0167028; 20.0000000; -3.4509515
33.9032624; 206.8834457; 31.2453298; 0.2248085; 0.0181561; 19.6528743; -5.0381163
35.8975720; 206.4029455; 33.1804103; 0.2624496; 0.0196392; 19.1347940; -4.5917449
37.8918815; 205.8463912; 35.0957360; 0.3038937; 0.0219238; 18.6500837; -4.2159887
