# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -114.1729990; -478.1601149; -0.1952643; 0.0331438; 14.7785753; 4.6246893
1.9790271; -113.8496799; -476.2086685; -0.1348119; 0.0280039; 15.3854171; 5.1520556
3.9580541; -113.6348895; -474.2411082; -0.0842855; 0.0230653; 16.0344371; 5.1393105
5.9370812; -113.5101481; -472.2659167; -0.0434586; 0.0182051; 16.6566756; 5.1265970
7.9161082; -113.4571888; -470.2876969; -0.0113684; 0.0142504; 17.2550338; 5.1139149
9.8951353; -113.4603488; -468.3086596; 0.0139790; 0.0125850; 17.8319192; -2.2901610
11.8741623; -113.5133011; -466.3304307; 0.0398723; 0.0135826; 17.5759142; -6.8890017
13.8531894; -113.6218243; -464.3545689; 0.0716481; 0.0187719; 16.7823038; -5.9360482
15.8322164; -113.8036307; -462.3841698; 0.1141318; 0.0241150; 16.0670632; -5.1633370
17.8112435; -114.0792540; -460.4245123; 0.1670718; 0.0293851; 15.4179685; -4.6774102
19.7902705; -114.4678498; -458.4846196; 0.2298475; 0.0340309; 14.8054149; -4.2889506
21.7692976; -114.9861979; -456.5750618; 0.3018308; 0.0387562; 14.2205630; -3.9483076
23.7483246; -115.6494495; -454.7108880; 0.3834714; 0.0437752; 13.6600438; -3.6345403
25.7273517; -116.4713275; -452.9117991; 0.4753623; 0.0492018; 13.1229223; -3.2456565
27.7063787; -117.4647452; -451.2005072; 0.5786145; 0.0555578; 12.6239695; -2.5286480
29.6854058; -118.6400944; -449.6096171; 0.6967778; 0.0640396; 12.2211325; -2.3326051
31.6644328; -120.0065702; -448.1784868; 0.8294900; 0.0696170; 11.8373773; -2.1161628
33.6434599; -121.5557762; -446.9500174; 0.9732466; 0.0756460; 11.4781364; -1.7694703
35.6224869; -123.2705996; -445.9669213; 1.1295597; 0.0826372; 11.1688834; -1.3535685
37.6015140; -125.1222949; -445.2759924; 1.3000634; 0.0898012; 10.9264111; -0.8615916
39.5805410; -127.0669989; -444.9238046; 1.4856375; 0.0966654; 10.7692262; -0.0723063
41.5595681; -129.0431159; -444.9481777; 1.6829617; 0.1037254; 10.7559305; -0.0723063
43.5385951; -130.9731342; -445.3681406; 1.8832572; 0.0944725; 10.7426183; 1.0253773
45.5176222; -132.7917856; -446.1405940; 2.0579388; 0.0835145; 10.9298832; 1.9485036
47.4966492; -134.4585498; -447.2028251; 2.2160876; 0.0763960; 11.2771729; 2.2048856
49.4756763; -135.9465182; -448.5025026; 2.3580234; 0.0665806; 11.6576878; 2.8666518
51.4547034; -137.2531735; -449.9901473; 2.4809479; 0.0583731; 12.1345807; 3.3126411
53.4337304; -138.3776427; -451.6176026; 2.5913366; 0.0533323; 12.6633195; 3.3474328
55.4127575; -139.3241845; -453.3540858; 2.6920239; 0.0482800; 13.1760761; 3.5096572
57.3917845; -140.1010939; -455.1738660; 2.7824907; 0.0432525; 13.6930784; 3.7729512
59.3708116; -140.7192962; -457.0534088; 2.8637431; 0.0389478; 14.2279282; 3.9891235
61.3498386; -141.1910369; -458.9753546; 2.9365614; 0.0344723; 14.7723765; 4.3409553
63.3288657; -141.5305606; -460.9246617; 3.0002175; 0.0298694; 15.3429085; 4.8214613
65.3078927; -141.7543850; -462.8908277; 3.0547402; 0.0252408; 15.9526940; 5.1409447
67.2869198; -141.8797085; -464.8660191; 3.1002485; 0.0207764; 16.5781961; 5.1282271
69.2659468; -141.9237050; -466.8441417; 3.1370370; 0.0165567; 17.1794757; 5.1155410
71.2449739; -141.9024423; -468.8231120; -3.1166378; 0.0132577; 17.7589970; -0.9474632
73.2240009; -141.8280131; -470.8005623; -3.0906542; 0.0147544; 17.6530978; -6.7349267
75.2030280; -141.6956582; -472.7748808; -3.0572444; 0.0191006; 16.8811924; -5.8135844
77.1820550; -141.4883720; -474.7429422; -3.0143687; 0.0242405; 16.1853074; -5.2036231
79.1610821; -141.1870528; -476.6990179; -2.9616566; 0.0287827; 15.5360212; -4.7812956
