# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.1730575; -478.1601027; -0.1952628; 0.0331438; 14.7785715; 4.6246847
1.9790267; -0.8497413; -476.2086561; -0.1348104; 0.0280040; 15.3854127; 5.1520557
3.9580534; -0.6349542; -474.2410959; -0.0842838; 0.0230654; 16.0344328; 5.1393106
5.9370801; -0.5102165; -472.2659045; -0.0434566; 0.0182052; 16.6566714; 5.1265971
7.9161068; -0.4572615; -470.2876849; -0.0113661; 0.0142506; 17.2550296; 5.1139150
9.8951335; -0.4604264; -468.3086480; 0.0139816; 0.0125851; 17.8319151; -2.2899252
11.8741602; -0.5133838; -466.3304195; 0.0398749; 0.0135826; 17.5759367; -6.8889962
13.8531870; -0.6219123; -464.3545583; 0.0716507; 0.0187719; 16.7823280; -5.9360577
15.8322137; -0.8037239; -462.3841600; 0.1141343; 0.0241149; 16.0670875; -5.1633616
17.8112404; -1.0793519; -460.4245036; 0.1670741; 0.0293849; 15.4179908; -4.6774445
19.7902671; -1.4679516; -458.4846119; 0.2298493; 0.0340307; 14.8054336; -4.2889906
21.7692938; -1.9863026; -456.5750552; 0.3018321; 0.0387559; 14.2205770; -3.9483530
23.7483205; -2.6495560; -454.7108826; 0.3834721; 0.0437749; 13.6600519; -3.6345713
25.7273472; -3.4714346; -452.9117943; 0.4753625; 0.0492016; 13.1229262; -3.2456928
27.7063739; -4.4648520; -451.2005028; 0.5786143; 0.0555576; 12.6239679; -2.5287503
29.6854006; -5.6402002; -449.6096124; 0.6967769; 0.0640391; 12.2211144; -2.3326613
31.6644273; -7.0066736; -448.1784806; 0.8294883; 0.0696169; 11.8373493; -2.1161628
33.6434540; -8.5558775; -446.9500089; 0.9732453; 0.0756464; 11.4781076; -1.7694282
35.6224807; -10.2706997; -445.9669115; 1.1295594; 0.0826379; 11.1688613; -1.3535459
37.6015074; -12.1223947; -445.2759833; 1.3000642; 0.0898017; 10.9263926; -0.8616072
39.5805342; -14.0670991; -444.9237979; 1.4856391; 0.0966657; 10.7692046; -0.0723060
41.5595609; -16.0432156; -444.9481746; 1.6829639; 0.1037259; 10.7559089; -0.0723060
43.5385876; -17.9732327; -445.3681420; 1.8832594; 0.0944724; 10.7425968; 1.0254411
45.5176143; -19.7918823; -446.1405988; 2.0579405; 0.0835142; 10.9298736; 1.9485563
47.4966410; -21.4586448; -447.2028320; 2.2160888; 0.0763959; 11.2771728; 2.2048973
49.4756677; -22.9466115; -448.5025110; 2.3580244; 0.0665804; 11.6576897; 2.8666654
51.4546944; -24.2532652; -449.9901566; 2.4809486; 0.0583731; 12.1345846; 3.3126443
53.4337211; -25.3777330; -451.6176124; 2.5913374; 0.0533323; 12.6633236; 3.3474186
55.4127478; -26.3242732; -453.3540960; 2.6920248; 0.0482801; 13.1760779; 3.5096266
57.3917745; -27.1011805; -455.1738769; 2.7824921; 0.0432528; 13.6930755; 3.7728951
59.3708012; -27.7193794; -457.0534204; 2.8637452; 0.0389482; 14.2279175; 3.9890576
61.3498279; -28.1911152; -458.9753671; 2.9365643; 0.0344728; 14.7723573; 4.3408749
63.3288546; -28.5306323; -460.9246749; 3.0002214; 0.0298700; 15.3428796; 4.8213572
65.3078814; -28.7544478; -462.8908415; 3.0547453; 0.0252414; 15.9526532; 5.1409455
67.2869081; -28.8797599; -464.8660334; 3.1002548; 0.0207768; 16.5781568; 5.1282279
69.2659348; -28.9237436; -466.8441559; 3.1370435; 0.0165565; 17.1794378; 5.1155418
71.2449615; -28.9024691; -468.8231257; -3.1166326; 0.0132565; 17.7589603; -0.9468077
73.2239882; -28.8280325; -470.8005754; -3.0906518; 0.0147532; 17.6531344; -6.7351253
75.2030149; -28.6956749; -472.7748933; -3.0572439; 0.0190999; 16.8812076; -5.8137043
77.1820416; -28.4883890; -474.7429544; -3.0143694; 0.0242400; 16.1853087; -5.2037050
79.1610683; -28.1870719; -476.6990301; -2.9616580; 0.0287824; 15.5360122; -4.7813598
81.1400950; -27.7749976; -478.6341146; -2.9004800; 0.0330767; 14.9145163; -4.4267045
83.1191217; -27.2369797; -480.5386829; -2.8305890; 0.0375820; 14.3150852; -4.0059613
85.0981484; -26.5591170; -482.3969161; -2.7512487; 0.0429068; 13.7501220; -3.6089802
87.0771751; -25.7260306; -484.1910291; -2.6605933; 0.0486337; 13.2204886; -3.3682098
89.0562018; -24.7245842; -485.8969044; -2.5590932; 0.0540892; 12.7062884; -2.9118950
91.0352285; -23.5458195; -487.4863345; -2.4454825; 0.0612429; 12.2443590; -2.1905143
93.0142553; -22.1844022; -488.9199147; -2.3155714; 0.0700706; 11.8850391; -1.5891884
94.9932820; -20.6382735; -490.1524740; -2.1695261; 0.0777627; 11.6174034; -1.4434959
96.9723087; -18.9227832; -491.1334954; -2.0096108; 0.0822997; 11.3688447; -1.4285222
98.9513354; -17.0696300; -491.8233782; -1.8435681; 0.0857824; 11.1173946; -1.4052388
100.9303621; -15.1280102; -492.1899466; -1.6696964; 0.0903849; 10.8643661; -1.1293179
