# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 19.7358659; -109.5715829; -3.1046438; -0.0064643; 20.0000000; 0.0000000
1.9963006; 19.7976121; -111.5675859; -3.1162609; -0.0051706; 20.0000000; 0.0000000
3.9926012; 19.8387133; -113.5633845; -3.1253521; -0.0039963; 20.0000000; 0.0000000
5.9889018; 19.8638736; -115.5589295; -3.1322620; -0.0029283; 20.0000000; 0.0000000
7.9852024; 19.8772418; -117.5551225; -3.1372399; -0.0020573; 20.0000000; 0.0000000
9.9815030; 19.8822211; -119.5510653; -3.1410270; -0.0022494; 20.0000000; 0.0000000
11.9778036; 19.8780878; -121.5477263; 3.1364970; -0.0034240; 20.0000000; 0.0000000
13.9741042; 19.8602317; -123.5435013; 3.1283615; -0.0047269; 20.0000000; 0.0000000
15.9704048; 19.8235503; -125.5394374; 3.1176578; -0.0059731; 20.0000000; 0.0000000
17.9667053; 19.7630622; -127.5352636; 3.1045320; -0.0071740; 20.0000000; 0.0000000
19.9630059; 19.6740239; -129.5292529; 3.0890024; -0.0083870; 20.0000000; 0.0000000
21.9593065; 19.5515913; -131.5218475; 3.0710437; -0.0096070; 20.0000000; 0.0000000
23.9556071; 19.3909495; -133.5118923; 3.0506364; -0.0108366; 20.0000000; 0.0000000
25.9519077; 19.1873261; -135.4976420; 3.0277644; -0.0120813; 20.0000000; 0.0000000
27.9482083; 18.9358555; -137.4780421; 3.0023992; -0.0133266; 20.0000000; 0.0000000
29.9445089; 18.6317909; -139.4510488; 2.9745533; -0.0145737; 20.0000000; 0.0000000
31.9408095; 18.2704003; -141.4143928; 2.9441212; -0.0159203; 20.0000000; -2.1700274
33.9371101; 17.8468812; -143.3650509; 2.9110867; -0.0170738; 19.7822129; -5.5266929
35.9334107; 17.3571421; -145.3002613; 2.8760536; -0.0181550; 19.2164009; -3.9941954
37.9297113; 16.7951081; -147.2161051; 2.8347150; -0.0232836; 18.7968837; -2.7030694
39.9260119; 16.1448249; -149.1035382; 2.7833936; -0.0277669; 18.5075811; -1.7061108
41.9223125; 15.3914015; -150.9512444; 2.7241700; -0.0312872; 18.3226291; -1.4701543
43.9186131; 14.5279693; -152.7519290; 2.6663104; -0.0267049; 18.1617455; -3.2921094
45.9149137; 13.5687664; -154.5045727; 2.6159174; -0.0249228; 17.7962052; -4.2802715
47.9112143; 12.5255985; -156.2033615; 2.5656694; -0.0255472; 17.3094050; -4.5064091
49.9075149; 11.3953685; -157.8493119; 2.5138178; -0.0262874; 16.7816330; -3.4691408
51.9038154; 10.1792710; -159.4332320; 2.4576304; -0.0324836; 16.3637499; -0.7928309
53.9001160; 8.8638619; -160.9328009; 2.3816918; -0.0429790; 16.2667407; -0.1649676
55.8964166; 7.4269247; -162.3180996; 2.2932786; -0.0454635; 16.2464828; -0.1649676
57.8927172; 5.8711614; -163.5696392; 2.2052296; -0.0402463; 16.2261996; 1.2390164
59.8890178; 4.2201639; -164.6918297; 2.1326974; -0.0337722; 16.3779257; 2.7734143
61.8853184; 2.4960255; -165.6979012; 2.0653787; -0.0336103; 16.7125578; 2.4377538
63.8816190; 0.7096860; -166.5857118; 1.9989952; -0.0327606; 17.0012519; 2.3501348
65.8779196; -1.1305742; -167.3550494; 1.9349430; -0.0317224; 17.2750027; 2.3467007
67.8742202; -3.0172379; -168.0064779; 1.8715226; -0.0318898; 17.5440918; 1.9921060
