# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 209.3358359; -109.5715830; -3.1046438; -0.0064643; 20.0000000; 0.0000000
1.9963004; 209.3975821; -111.5675858; -3.1162609; -0.0051706; 20.0000000; 0.0000000
3.9926008; 209.4386833; -113.5633842; -3.1253522; -0.0039963; 20.0000000; 0.0000000
5.9889012; 209.4638435; -115.5589290; -3.1322620; -0.0029283; 20.0000000; 0.0000000
7.9852016; 209.4772118; -117.5551218; -3.1372399; -0.0020573; 20.0000000; 0.0000000
9.9815020; 209.4821912; -119.5510644; -3.1410269; -0.0022493; 20.0000000; 0.0000000
11.9778024; 209.4780581; -121.5477252; 3.1364972; -0.0034240; 20.0000000; 0.0000000
13.9741028; 209.4602025; -123.5435000; 3.1283618; -0.0047269; 20.0000000; 0.0000000
15.9704032; 209.4235217; -125.5394359; 3.1176582; -0.0059731; 20.0000000; 0.0000000
17.9667036; 209.3630345; -127.5352620; 3.1045324; -0.0071740; 20.0000000; 0.0000000
19.9630040; 209.2739972; -129.5292511; 3.0890029; -0.0083870; 20.0000000; 0.0000000
21.9593044; 209.1515657; -131.5218455; 3.0710442; -0.0096070; 20.0000000; 0.0000000
23.9556048; 208.9909249; -133.5118903; 3.0506369; -0.0108366; 20.0000000; 0.0000000
25.9519052; 208.7873026; -135.4976399; 3.0277650; -0.0120813; 20.0000000; 0.0000000
27.9482056; 208.5358330; -137.4780399; 3.0023996; -0.0133266; 20.0000000; 0.0000000
29.9445060; 208.2317694; -139.4510465; 2.9745538; -0.0145737; 20.0000000; 0.0000000
31.9408063; 207.8703796; -141.4143905; 2.9441216; -0.0159204; 20.0000000; -2.1701245
33.9371067; 207.4468612; -143.3650485; 2.9110869; -0.0170738; 19.7822031; -5.5266796
35.9334071; 206.9571225; -145.3002588; 2.8760537; -0.0181551; 19.2163923; -3.9941885
37.9297075; 206.3950887; -147.2161025; 2.8347151; -0.0232836; 18.7968756; -2.7030609
39.9260079; 205.7448057; -149.1035354; 2.7833936; -0.0277669; 18.5075739; -1.7060935
41.9223083; 204.9913823; -150.9512414; 2.7241699; -0.0312873; 18.3226237; -1.4701378
43.9186087; 204.1279499; -152.7519256; 2.6663101; -0.0267050; 18.1617418; -3.2920816
45.9149091; 203.1687465; -154.5045689; 2.6159170; -0.0249228; 17.7962046; -4.2802436
47.9112095; 202.1255777; -156.2033570; 2.5656688; -0.0255473; 17.3094077; -4.5063786
49.9075099; 200.9953467; -157.8493065; 2.5138170; -0.0262875; 16.7816395; -3.4691170
51.9038103; 199.7792479; -159.4332254; 2.4576295; -0.0324837; 16.3637595; -0.7927876
53.9001107; 198.4638375; -160.9327927; 2.3816907; -0.0429791; 16.2667557; -0.1649679
55.8964111; 197.0268989; -162.3180898; 2.2932775; -0.0454634; 16.2464978; -0.1649679
57.8927115; 195.4711345; -163.5696279; 2.2052288; -0.0402462; 16.2262146; 1.2390167
59.8890119; 193.8201365; -164.6918169; 2.1326968; -0.0337721; 16.3779406; 2.7734341
61.8853123; 192.0959976; -165.6978875; 2.0653782; -0.0336102; 16.7125747; 2.4377631
63.8816127; 190.3096581; -166.5856974; 1.9989950; -0.0327605; 17.0012696; 2.3501399
65.8779131; 188.4693979; -167.3550347; 1.9349430; -0.0317223; 17.2750207; 2.3467068
67.8742135; 186.5827344; -168.0064632; 1.8715228; -0.0318897; 17.5441102; 1.9921071
69.8705139; 184.6577596; -168.5373058; 1.8085283; -0.0310806; 17.7693413; 1.9889846
71.8668143; 182.7044807; -168.9475417; 1.7474122; -0.0301268; 17.9914066; 2.0459383
73.8631147; 180.7307108; -169.2395425; 1.6882393; -0.0292080; 18.2170065; 2.0996305
75.8594151; 178.7420761; -169.4160505; 1.6306506; -0.0284743; 18.4456584; 2.0991715
77.8557155; 176.7473343; -169.4792231; 1.5744498; -0.0278874; 18.6714613; 2.0599240
79.8520159; 174.7521823; -169.4313187; 1.5192940; -0.0274196; 18.8904188; -0.2773338
81.8483163; 172.7623188; -169.2742369; 1.4648317; -0.0271544; 18.8610879; -2.5111021
83.8446167; 170.7846736; -169.0097928; 1.4110727; -0.0266707; 18.5934077; -2.9662550
85.8409171; 168.8254489; -168.6406915; 1.3578068; -0.0276825; 18.2721574; -2.3822521
87.8372175; 166.8843730; -168.1623822; 1.2997270; -0.0302764; 18.0100071; -0.5916491
89.8335179; 164.9809795; -167.5671894; 1.2338107; -0.0360549; 17.9443065; -0.5196917
91.8298183; 163.1195290; -166.8356573; 1.1594237; -0.0349195; 17.8863975; -0.7200714
93.8261187; 161.3186996; -165.9791678; 1.0963835; -0.0291010; 17.8058490; -2.8853107
95.8224190; 159.5707316; -165.0170248; 1.0392318; -0.0279697; 17.4793697; -3.4018381
97.8187194; 157.8830616; -163.9601833; 0.9825507; -0.0300762; 17.0864327; -2.4849549
99.8150198; 156.2556140; -162.7996434; 0.9188006; -0.0343633; 16.7935925; -0.3652516
101.8113202; 154.7137480; -161.5302687; 0.8426778; -0.0420938; 16.7501178; -0.1749175
103.8076206; 153.2827403; -160.1391771; 0.7564379; -0.0428773; 16.7292579; -0.1749175
105.8039210; 151.9760296; -158.6315580; 0.6729203; -0.0391447; 16.7083720; 0.8975087
107.8002214; 150.7890880; -157.0257772; 0.6027988; -0.0311744; 16.8152635; 3.0086275
109.7965218; 149.7078064; -155.3488484; 0.5431378; -0.0291736; 17.1687314; 3.2163931
111.7928222; 148.7258102; -153.6116923; 0.4864294; -0.0274796; 17.5387317; 3.3548394
113.7891226; 147.8396197; -151.8216106; 0.4336416; -0.0253725; 17.9165188; 3.6547605
115.7854230; 147.0469012; -149.9914619; 0.3842202; -0.0242429; 18.3192152; 3.6545027
117.7817234; 146.3428432; -148.1230392; 0.3369258; -0.0229835; 18.7132203; 3.7326821
119.7780238; 145.7250174; -146.2235842; 0.2925062; -0.0215139; 19.1072689; 3.9173705
121.7743242; 145.1897231; -144.3013695; 0.2512403; -0.0198550; 19.5122582; 4.2026886
123.7706246; 144.7307629; -142.3583593; 0.2132364; -0.0181755; 19.9375996; 0.6241848
125.7669250; 144.3425548; -140.3997142; 0.1786681; -0.0164584; 20.0000000; 0.0000000
127.7632254; 144.0190424; -138.4301232; 0.1474868; -0.0147904; 20.0000000; 0.0000000
129.7595258; 143.7537646; -136.4513718; 0.1195966; -0.0131486; 20.0000000; 0.0000000
131.7558262; 143.5405403; -134.4665159; 0.0949747; -0.0115230; 20.0000000; 0.0000000
133.7521266; 143.3729780; -132.4770839; 0.0736366; -0.0098537; 20.0000000; 0.0000000
135.7484270; 143.2445977; -130.4847534; 0.0555926; -0.0082528; 20.0000000; 0.0000000
137.7447274; 143.1490952; -128.4911587; 0.0406544; -0.0067169; 20.0000000; 0.0000000
139.7410278; 143.0805277; -126.4953473; 0.0284247; -0.0055313; 20.0000000; 0.0000000
141.7373282; 143.0340356; -124.4997076; 0.0185333; -0.0044099; 20.0000000; 0.0000000
143.7336286; 143.0051214; -122.5042114; 0.0108014; -0.0033359; 20.0000000; 0.0000000
145.7299290; 142.9894921; -120.5081153; 0.0052170; -0.0022573; 20.0000000; 0.0000000
147.7262294; 142.9830407; -118.5121860; 0.0012611; -0.0021948; 20.0000000; 0.0000000
149.7225298; 142.9854763; -116.5154341; -0.0039902; -0.0030760; 20.0000000; 0.0000000
151.7188302; 143.0004184; -114.5196267; -0.0114092; -0.0043573; 20.0000000; 0.0000000
153.7151306; 143.0327290; -112.5235691; -0.0213958; -0.0056593; 20.0000000; 0.0000000
155.7114310; 143.0876033; -110.5276260; -0.0340160; -0.0069816; 20.0000000; 0.0000000
157.7077314; 143.1702677; -108.5333403; -0.0492813; -0.0083142; 20.0000000; 0.0000000
159.7040317; 143.2860381; -106.5403690; -0.0672119; -0.0096514; 20.0000000; 0.0000000
161.7003321; 143.4402026; -104.5498192; -0.0878234; -0.0109957; 20.0000000; 0.0000000
163.6966325; 143.6379763; -102.5635127; -0.1111039; -0.0123312; 20.0000000; 0.0000000
165.6929329; 143.8846100; -100.5825025; -0.1370749; -0.0136999; 20.0000000; 0.0000000
167.6892333; 144.1853359; -98.6089626; -0.1658228; -0.0150949; 20.0000000; 0.0000000
169.6855337; 144.5452686; -96.6454250; -0.1971767; -0.0163219; 20.0000000; -1.6329198
171.6818341; 144.9690336; -94.6946321; -0.2311182; -0.0177800; 19.8363405; -4.9640514
173.6781345; 145.4617417; -92.7603123; -0.2682651; -0.0194548; 19.3303111; -4.5449159
