# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 103.6153407; -459.6238670; -2.4779728; -0.0624133; 11.8365239; 3.1681310
1.9787350; 104.7392578; -461.2521597; -2.5946239; -0.0554796; 12.3548000; 3.4361382
3.9574700; 105.6773734; -462.9930952; -2.6979253; -0.0489614; 12.8933896; 3.7567782
5.9362050; 106.4426514; -464.8165295; -2.7884361; -0.0426178; 13.4575939; 4.1684249
7.9149400; 107.0516592; -466.6990905; -2.8671224; -0.0369161; 14.0571423; 4.5817593
9.8936750; 107.5214704; -468.6206275; -2.9346555; -0.0313868; 14.6879347; 5.0939282
11.8724100; 107.8711419; -470.5677601; -2.9913563; -0.0259431; 15.3588571; 5.1525659
13.8511450; 108.1203321; -472.5306228; -3.0375790; -0.0207883; 16.0089231; 5.1398215
15.8298800; 108.2885094; -474.5020305; -3.0738945; -0.0162699; 16.6320867; 5.1271086
17.8086150; 108.3929706; -476.4779061; -3.1024354; -0.0125795; 17.2312706; 5.1144271
19.7873500; 108.4449754; -478.4559679; -3.1290974; -0.0149142; 17.8088988; -2.8302812
21.7660850; 108.4385407; -480.4346606; 3.1215017; -0.0182782; 17.4916015; -5.8634320
23.7448200; 108.3603982; -482.4116448; 3.0813367; -0.0223280; 16.8152243; -5.3448889
25.7235550; 108.1951544; -484.3836412; 3.0334274; -0.0260651; 16.1740388; -4.9170666
27.7022900; 107.9284815; -486.3440768; 2.9781076; -0.0298764; 15.5608607; -4.5517064
29.6810250; 107.5464563; -488.2850004; 2.9150796; -0.0338574; 14.9708766; -4.1566485
31.6597600; 107.0349234; -490.1966733; 2.8436815; -0.0383920; 14.4110143; -3.8986133
33.6384950; 106.3801150; -492.0628898; 2.7631252; -0.0427651; 13.8653773; -3.8978948
35.6172300; 105.5700637; -493.8672272; 2.6748894; -0.0464455; 13.2974767; -3.2818285
37.5959650; 104.5960443; -495.5893239; 2.5762640; -0.0538381; 12.7998105; -2.9976270
39.5747000; 103.4456181; -497.1964666; 2.4622450; -0.0598620; 12.3276977; -2.8559528
41.5534349; 102.1134779; -498.6581440; 2.3423222; -0.0613325; 11.8604293; -1.9457094
43.5321699; 100.6103761; -499.9429056; 2.2084102; -0.0762384; 11.5312486; -0.5239475
45.5109049; 98.9316984; -500.9868918; 2.0415611; -0.0882979; 11.4409872; -0.0816083
47.4896399; 97.0980139; -501.7248034; 1.8640199; -0.0919025; 11.4268643; -0.0816083
49.4683749; 95.1608375; -502.1217020; 1.6825854; -0.0903465; 11.4127238; 0.1509381
51.4471099; 93.1873104; -502.1668343; 1.5047951; -0.0901717; 11.4388635; 0.1086994
53.4258449; 91.2355140; -501.8606330; 1.3251588; -0.0914092; 11.4576512; -0.0820486
55.4045799; 89.3724786; -501.2108059; 1.1457853; -0.0901458; 11.4434727; 0.1132833
57.3833149; 87.6505523; -500.2378384; 0.9681211; -0.0857309; 11.4630442; 0.6527147
59.3620499; 86.1158639; -498.9902136; 0.8129435; -0.0716861; 11.5751666; 2.3114414
61.3407849; 84.7737639; -497.5356598; 0.6802605; -0.0629663; 11.9637762; 2.8980608
63.3195199; 83.6243041; -495.9265974; 0.5625463; -0.0562465; 12.4338622; 3.2076108
65.2982549; 82.6605695; -494.1997565; 0.4576590; -0.0497799; 12.9342550; 3.5675102
67.2769899; 81.8714496; -492.3859054; 0.3648164; -0.0443304; 13.4689743; 3.8444932
69.2557249; 81.2443969; -490.5096687; 0.2818066; -0.0395750; 14.0224011; 4.0955695
71.2344599; 80.7658719; -488.5900261; 0.2084368; -0.0345918; 14.5888940; 4.5046038
73.2131949; 80.4198830; -486.6418811; 0.1445731; -0.0300706; 15.1875825; 4.9196640
75.1919299; 80.1904494; -484.6771063; 0.0893398; -0.0257246; 15.8155646; 5.1436674
77.1706649; 80.0610618; -482.7024790; 0.0430702; -0.0210362; 16.4465192; 5.1309450
79.1493999; 80.0137750; -480.7243011; 0.0065414; -0.0156148; 17.0526700; 5.1182540
81.1281349; 80.0275715; -478.7462711; -0.0186911; -0.0108633; 17.6365782; 1.7740254
83.1068699; 80.0873521; -476.7683919; -0.0425144; -0.0132118; 17.8345043; -7.1148540
85.0856049; 80.1992877; -474.7929636; -0.0721578; -0.0174754; 17.0268236; -6.0946744
87.0643399; 80.3795555; -472.8227162; -0.1121124; -0.0228427; 16.3031663; -5.3885521
89.0430749; 80.6484051; -470.8624297; -0.1620756; -0.0276692; 15.6354788; -4.8203904
91.0218099; 81.0241020; -468.9198890; -0.2215981; -0.0324789; 15.0130493; -4.3403790
93.0005449; 81.5237256; -467.0058925; -0.2907025; -0.0374121; 14.4296476; -3.8761257
94.9792799; 82.1637516; -465.1340147; -0.3699691; -0.0427449; 13.8879472; -3.5763839
96.9580149; 82.9592029; -463.3236011; -0.4596352; -0.0477576; 13.3686815; -3.3887801
98.9367499; 83.9225088; -461.5953833; -0.5589923; -0.0527161; 12.8573189; -2.9133796
100.9154849; 85.0614756; -459.9772284; -0.6699526; -0.0597130; 12.4008483; -2.6011819
102.8942199; 86.3824816; -458.5056966; -0.7952223; -0.0661280; 11.9786033; -2.5277965
104.8729549; 87.8828913; -457.2199449; -0.9310550; -0.0715867; 11.5534956; -1.4445691
106.8516899; 89.5520773; -456.1611680; -1.0838663; -0.0832401; 11.3033809; -0.8638110
108.8304249; 91.3712509; -455.3896822; -1.2576464; -0.0901817; 11.1511396; -0.3198147
110.8091599; 93.2990350; -454.9540030; -1.4413127; -0.0955224; 11.0942443; -0.0767366
112.7878949; 95.2730981; -454.8858279; -1.6319717; -0.0977369; 11.0805494; -0.0767366
114.7666299; 97.2217334; -455.1973870; -1.8262776; -0.0967662; 11.0668375; 0.0720178
116.7453649; 99.0800100; -455.8761583; -2.0148332; -0.0935092; 11.0797067; 0.4440937
118.7240999; 100.7816628; -456.8791269; -2.1884007; -0.0827794; 11.1587359; 1.6147053
120.7028349; 102.2989789; -458.1493311; -2.3440487; -0.0732925; 11.4414831; 2.3236471
122.6815698; 103.6153407; -459.6238670; -2.4779728; -0.0624133; 11.8365239; 3.1681310
