# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 164.5152672; -459.6238430; -2.4779745; -0.0624140; 11.8364961; 3.1680723
1.9787372; 165.6391818; -461.2521404; -2.5946270; -0.0554802; 12.3547645; 3.4360976
3.9574744; 166.5772920; -462.9930814; -2.6979295; -0.0489618; 12.8933500; 3.7567623
5.9362116; 167.3425623; -464.8165209; -2.7884410; -0.0426180; 13.4575542; 4.1684520
7.9149488; 167.9515617; -466.6990872; -2.8671272; -0.0369159; 14.0571087; 4.5818406
9.8936860; 168.4213647; -468.6206284; -2.9346595; -0.0313861; 14.6879142; 5.0940847
11.8724232; 168.7710301; -470.5677641; -2.9913587; -0.0259420; 15.3588584; 5.1525659
13.8511604; 169.0202185; -472.5306293; -3.0375787; -0.0207866; 16.0089250; 5.1398214
15.8298976; 169.1884001; -474.5020387; -3.0738904; -0.0162678; 16.6320892; 5.1271085
17.8086348; 169.2928736; -476.4779160; -3.1024271; -0.0125774; 17.2312737; 5.1144270
19.7873720; 169.3448982; -478.4559793; -3.1290862; -0.0149134; 17.8089025; -2.8312440
21.7661092; 169.3384860; -480.4346743; 3.1215129; -0.0182786; 17.4914960; -5.8632849
23.7448464; 169.2603645; -482.4116617; 3.0813467; -0.0223288; 16.8151310; -5.3447695
25.7235836; 169.0951388; -484.3836615; 3.0334358; -0.0260658; 16.1739557; -4.9169807
27.7023208; 168.8284807; -486.3441015; 2.9781146; -0.0298770; 15.5607846; -4.5516430
29.6810580; 168.4464675; -488.2850298; 2.9150853; -0.0338580; 14.9708052; -4.1565897
31.6597952; 167.9349438; -490.1967075; 2.8436860; -0.0383926; 14.4109476; -3.8985640
33.6385324; 167.2801416; -492.0629285; 2.7631283; -0.0427658; 13.8653144; -3.8978793
35.6172695; 166.4700939; -493.8672699; 2.6748912; -0.0464460; 13.2974127; -3.2817104
37.5960067; 165.4960752; -495.5893698; 2.5762643; -0.0538392; 12.7997617; -2.9974378
39.5747439; 164.3456459; -497.1965127; 2.4622422; -0.0598634; 12.3276769; -2.8557316
41.5534811; 163.0134984; -498.6581862; 2.3423173; -0.0613330; 11.8604440; -1.9454179
43.5322183; 161.5103873; -499.9429412; 2.2084036; -0.0762397; 11.5313135; -0.5234982
45.5109555; 159.8316993; -500.9869142; 2.0415507; -0.0882992; 11.4411302; -0.0816103
47.4896927; 157.9980050; -501.7248073; 1.8640104; -0.0919002; 11.4270070; -0.0816103
49.4684299; 156.0608241; -502.1216934; 1.6825820; -0.0903425; 11.4128664; 0.1511653
51.4471671; 154.0872950; -502.1668283; 1.5048014; -0.0901672; 11.4390450; 0.1078641
53.4259043; 152.1354932; -501.8606445; 1.3251698; -0.0914086; 11.4576883; -0.0820491
55.4046415; 150.2724492; -501.2108373; 1.1457961; -0.0901461; 11.4435097; 0.1131675
57.3833787; 148.5505106; -500.2378857; 0.9681302; -0.0857319; 11.4630612; 0.6525558
59.3621159; 147.0158105; -498.9902719; 0.8129504; -0.0716872; 11.5751563; 2.3113062
61.3408531; 145.6737006; -497.5357239; 0.6802651; -0.0629672; 11.9637444; 2.8979717
63.3195903; 144.5242336; -495.9266638; 0.5625490; -0.0562474; 12.4338179; 3.2075398
65.2983275; 143.5604948; -494.1998228; 0.4576599; -0.0497806; 12.9342021; 3.5674617
67.2770647; 142.7713734; -492.3859697; 0.3648162; -0.0443309; 13.4689169; 3.8444761
69.2558019; 142.1443214; -490.5097308; 0.2818055; -0.0395753; 14.0223443; 4.0955789
71.2345391; 141.6657985; -488.5900853; 0.2084353; -0.0345918; 14.5888412; 4.5046515
73.2132763; 141.3198121; -486.6419377; 0.1445718; -0.0300704; 15.1875386; 4.9197645
75.1920135; 141.0903803; -484.6771606; 0.0893393; -0.0257241; 15.8155358; 5.1436680
77.1707507; 140.9609926; -482.7025310; 0.0430708; -0.0210355; 16.4464922; 5.1309456
79.1494879; 140.9137032; -480.7243511; 0.0065432; -0.0156143; 17.0526447; 5.1182546
81.1282251; 140.9274957; -478.7463188; -0.0186889; -0.0108632; 17.6365545; 1.7742166
83.1069623; 140.9872721; -476.7684374; -0.0425124; -0.0132120; 17.8345023; -7.1147754
85.0856995; 141.0992044; -474.7930067; -0.0721563; -0.0174757; 17.0268297; -6.0946047
87.0644367; 141.2794700; -472.8227569; -0.1121115; -0.0228430; 16.3031803; -5.3885072
89.0431739; 141.5483185; -470.8624679; -0.1620751; -0.0276693; 15.6354983; -4.8203654
