# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 94.2792056; 451.5580022; -3.0962991; 0.0012140; 20.0000000; 0.0000000
1.9987733; 94.3715748; 449.5613256; -3.0947075; 0.0003786; 20.0000000; 0.0000000
3.9975466; 94.4654526; 447.5647645; -3.0947856; -0.0004563; 20.0000000; 0.0000000
5.9963199; 94.5575085; 445.5681436; -3.0965313; -0.0012905; 20.0000000; 0.0000000
7.9950932; 94.6444179; 443.5712368; -3.0999421; -0.0021225; 20.0000000; 0.0000000
9.9938665; 94.7228539; 441.5740096; -3.1050152; -0.0029530; 20.0000000; 0.0000000
11.9926398; 94.7894999; 439.5763718; -3.1117463; -0.0037820; 20.0000000; 0.0000000
13.9914131; 94.8410476; 437.5782582; -3.1201282; -0.0046050; 20.0000000; 0.0000000
15.9901864; 94.8741963; 435.5797764; -3.1301698; -0.0054550; 20.0000000; 0.0000000
17.9889597; 94.8855502; 433.5810474; 3.1412396; -0.0063378; 20.0000000; 0.0000000
19.9877330; 94.8714778; 431.5823062; 3.1275108; -0.0073999; 20.0000000; 0.0000000
21.9865063; 94.8277832; 429.5839557; 3.1114978; -0.0087443; 20.0000000; 0.0000000
23.9852796; 94.7491466; 427.5868395; 3.0924523; -0.0103672; 20.0000000; 0.0000000
25.9840529; 94.6287246; 425.5916268; 3.0693864; -0.0127140; 20.0000000; 0.0000000
27.9828262; 94.4576674; 423.6001351; 3.0416894; -0.0149510; 20.0000000; -1.4237710
29.9815995; 94.2272160; 421.6149357; 3.0096406; -0.0170642; 19.8572004; -5.2996783
31.9803728; 93.9294669; 419.6382905; 2.9740198; -0.0185824; 19.3163842; -5.1389770
33.9791461; 93.5585335; 417.6741650; 2.9353553; -0.0200845; 18.7770977; -5.0245629
35.9779194; 93.1092053; 415.7271166; 2.8937203; -0.0216042; 18.2344036; -4.9128034
37.9766927; 92.5760177; 413.8007172; 2.8488677; -0.0232783; 17.6876882; -4.9062385
39.9754661; 91.9540460; 411.9015984; 2.8009088; -0.0245686; 17.1242926; -4.9688428
41.9742394; 91.2397566; 410.0356111; 2.7507036; -0.0259665; 16.5341530; -4.7717948
43.9730127; 90.4289789; 408.2096687; 2.6956938; -0.0290486; 15.9468725; -3.6422951
45.9717860; 89.5123107; 406.4334204; 2.6323832; -0.0354862; 15.4836204; -2.4308999
47.9705593; 88.4719060; 404.7269710; 2.5531864; -0.0422253; 15.1665706; -2.2691531
49.9693326; 87.2950594; 403.1127737; 2.4707250; -0.0402632; 14.8645154; -1.8063162
51.9681059; 85.9882018; 401.5986054; 2.3853188; -0.0483185; 14.6196096; -0.5036947
53.9668792; 84.5435012; 400.2204527; 2.2765452; -0.0549247; 14.5505822; -0.1453301
55.9656525; 82.9635030; 398.9981777; 2.1895192; -0.0321176; 14.5306049; -3.6763745
57.9644258; 81.3012347; 397.8887496; 2.1241308; -0.0429969; 14.0157768; -0.1224703
59.9631991; 79.5506885; 396.9270936; 2.0152106; -0.0612394; 13.9983006; -0.1224703
61.9619724; 77.6983549; 396.1786392; 1.8950260; -0.0593184; 13.9808025; 0.2833012
63.9607457; 75.7685850; 395.6546252; 1.7770947; -0.0586781; 14.0212463; 0.3412944
65.9595190; 73.7929774; 395.3608551; 1.6599742; -0.0568985; 14.0698148; 0.6126586
67.9582923; 71.7961431; 395.2898772; 1.5558719; -0.0473326; 14.1565822; -0.7161736
69.9570656; 69.8026209; 395.4126231; 1.4608415; -0.0513419; 14.0551017; -1.0723475
71.9558389; 67.8322231; 395.7387092; 1.3505149; -0.0571690; 13.9017669; -1.0123066
73.9546122; 65.9098646; 396.2857551; 1.2365538; -0.0572919; 13.7554492; -1.2613626
75.9533855; 64.0642509; 397.0488010; 1.1205475; -0.0585362; 13.5709257; -1.1625685
77.9521588; 62.3190014; 398.0221291; 1.0040029; -0.0568561; 13.3986045; -1.6553890
79.9509321; 60.6945441; 399.1875741; 0.8938689; -0.0540248; 13.1493387; -2.5950387
81.9497054; 59.2070531; 400.5212630; 0.7859617; -0.0535370; 12.7487772; -3.3138852
83.9484787; 57.8724831; 402.0024877; 0.6804570; -0.0560783; 12.2181795; -1.8233452
85.9472520; 56.7127615; 403.6300176; 0.5523446; -0.0722941; 11.9161656; -1.6700365
87.9460253; 55.7914986; 405.4060376; 0.4050763; -0.0730085; 11.6326676; -2.0890089
89.9447986; 55.1414724; 407.2940030; 0.2571924; -0.0755229; 11.2680098; -2.2860351
91.9435719; 54.7824555; 409.2555795; 0.1042640; -0.0772740; 10.8549303; -2.9498006
93.9423452; 54.7332297; 411.2482307; -0.0579152; -0.0859740; 10.2974534; -2.2718669
95.9411185; 55.0263750; 413.2226366; -0.2417547; -0.1009609; 9.8466061; -0.0604463
97.9398918; 55.7125466; 415.0985228; -0.4675652; -0.1240772; 9.8343284; -0.0604463
99.9386651; 56.8112756; 416.7582384; -0.6963032; -0.1071327; 9.8220354; 1.6043538
101.9374384; 58.2447766; 418.1515956; -0.8961207; -0.0867031; 10.1432666; 3.0151704
103.9362117; 59.8956878; 419.2767541; -1.0391654; -0.0572862; 10.7209674; 5.2281630
105.9349850; 61.6681039; 420.2032482; -1.1316210; -0.0349190; 11.6549975; 5.2151006
107.9337583; 63.4966116; 421.0022507; -1.1782541; -0.0114946; 12.5174508; 5.2020709
109.9325316; 65.3465952; 421.7607791; -1.1771055; 0.0123045; 13.3222407; -3.9577369
111.9313049; 67.1758231; 422.5598532; -1.1349322; 0.0298863; 12.7145924; -5.0525968
113.9300782; 68.9596012; 423.4700538; -1.0563883; 0.0497361; 11.8938164; -2.4126528
115.9288516; 70.6383873; 424.5505137; -0.9335044; 0.0733566; 11.4812097; -0.5290421
117.9276249; 72.1480216; 425.8629679; -0.7715467; 0.0890650; 11.3887359; -0.0808625
119.9263982; 73.4000354; 427.4175825; -0.5834246; 0.0927500; 11.3745353; -0.0808625
121.9251715; 74.3427785; 429.1732403; -0.4035658; 0.0880890; 11.3603170; 0.5508577
123.9239448; 74.9698914; 431.0722022; -0.2380651; 0.0770638; 11.4568268; 1.8026525
125.9227181; 75.2966954; 433.0399734; -0.0941158; 0.0677336; 11.7671181; 2.5347190
127.9214914; 75.3554164; 435.0342660; 0.0323142; 0.0590255; 12.1900667; 3.1360667
129.9202647; 75.1786778; 437.0238693; 0.1421985; 0.0509850; 12.6938686; 3.6838624
131.9190380; 74.8002608; 438.9839398; 0.2370375; 0.0442525; 13.2612485; 4.1078190
133.9178113; 74.2495722; 440.9050728; 0.3192253; 0.0380895; 13.8665752; 4.5559080
135.9165846; 73.5538873; 442.7794346; 0.3896897; 0.0324475; 14.5084239; 5.0384277
137.9153579; 72.7391645; 444.6022885; 0.4491900; 0.0271938; 15.1866953; 5.1558527
139.9141312; 71.8252248; 446.3807682; 0.4985043; 0.0220721; 15.8507563; 5.1429710
141.9129045; 70.8333916; 448.1176789; 0.5374808; 0.0169413; 16.4865321; 5.1301214
143.9116778; 69.7847657; 449.8178214; 0.5661222; 0.0117355; 17.0971822; 5.1173040
145.9104511; 68.6954523; 451.4945317; 0.5844636; 0.0066163; 17.6853131; 5.1045186
147.9092244; 67.5839805; 453.1567508; 0.5926236; 0.0015573; 18.2531053; 2.7735710
149.9079977; 66.4679781; 454.8146063; 0.5906488; -0.0035335; 18.5543346; -9.5553722
151.9067710; 65.3633324; 456.4808706; 0.5785058; -0.0086123; 17.4947216; -8.4397072
153.9055443; 64.2877530; 458.1655692; 0.5562114; -0.0136986; 16.5023381; -7.3045974
155.9043176; 63.2592559; 459.8795021; 0.5226514; -0.0199376; 15.5925204; -6.3658533
157.9030909; 62.2998423; 461.6331844; 0.4763710; -0.0265078; 14.7539452; -5.5579733
159.9018642; 61.4351911; 463.4344034; 0.4163709; -0.0335832; 13.9807239; -4.4641190
161.9006375; 60.6945869; 465.2902542; 0.3398487; -0.0430532; 13.3272322; -4.0840835
163.8994108; 60.1148947; 467.2058889; 0.2456582; -0.0497041; 12.6999529; -3.8888868
165.8981841; 59.7299522; 469.1630216; 0.1405750; -0.0562786; 12.0723982; -3.1421021
167.8969574; 59.5698097; 471.1522107; 0.0164435; -0.0671347; 11.5404548; -3.0695006
169.8957307; 59.6756455; 473.1510415; -0.1244705; -0.0744847; 10.9959823; -1.1256540
171.8945040; 60.0803695; 475.1048022; -0.2907611; -0.0940378; 10.7894287; -0.0725760
173.8932773; 60.8374299; 476.9537587; -0.4896339; -0.1033399; 10.7759754; -0.0725760
175.8920506; 61.9483652; 478.6038139; -0.6936325; -0.0989674; 10.7625053; 0.4640578
177.8908239; 63.3692031; 480.0078526; -0.8873797; -0.0894014; 10.8483461; 1.4050937
179.8895972; 65.0064215; 481.1511948; -1.0194793; -0.0430011; 11.1042127; 5.2229353
181.8883705; 66.7377854; 482.1383716; -1.0816252; -0.0269823; 12.0076004; 5.2098860
183.8871438; 68.5251351; 483.0338756; -1.1278060; -0.0159718; 12.8455918; 5.1968692
185.8859171; 70.3407911; 483.8755401; -1.1387747; 0.0046667; 13.6302588; -3.9135548
187.8846904; 72.1488081; 484.7322560; -1.1126261; 0.0206742; 13.0437471; -6.8482996
189.8834637; 73.9199528; 485.6630919; -1.0559626; 0.0367107; 11.9483447; -5.1873485
191.8822371; 75.6151504; 486.7210679; -0.9631420; 0.0564544; 11.0465503; -3.9896877
193.8810104; 77.1804132; 487.9630005; -0.8305011; 0.0761389; 10.2993840; -2.9566493
195.8797837; 78.5373358; 489.4256542; -0.6587010; 0.0965676; 9.7086543; -0.5416577
197.8785570; 79.5853925; 491.1226893; -0.4382316; 0.1250469; 9.5964924; -0.0574145
199.8773303; 80.1917479; 493.0220894; -0.1791203; 0.1306291; 9.5845266; -0.0574145
201.8761036; 80.2837678; 495.0120136; 0.0876859; 0.1306993; 9.5725458; -0.0337268
203.8748769; 79.8635123; 496.9610893; 0.3317904; 0.1150698; 9.5655009; 1.4140663
205.8736502; 79.0135358; 498.7661099; 0.5396514; 0.0905362; 9.8565513; 3.1435456
207.8724235; 77.8506833; 500.3886719; 0.6970012; 0.0699156; 10.4746396; 4.2604179
209.8711968; 76.4716369; 501.8332800; 0.8226096; 0.0556894; 11.2582988; 4.8621937
